,dataset,index,pipe1,pipe2,p,smd,nsub
0,001-2014,0,ACM+MDM(Grid),ACM+MDM(Grid),0.001953125,0.0,9
1,001-2014,1,ACM+TGSP+SVM(Grid),ACM+MDM(Grid),0.001953125,1.42366693436161,9
2,001-2014,2,CSP+LDA,ACM+MDM(Grid),0.998046875,-0.8222865780843596,9
3,001-2014,3,Cov+EN,ACM+MDM(Grid),0.953125,-0.624526745133227,9
4,001-2014,4,DeepConvNet,ACM+MDM(Grid),0.998046875,-3.3640019395484058,9
5,001-2014,5,EEGNet_8_2,ACM+MDM(Grid),0.892578125,-0.4533725821081955,9
6,001-2014,6,FgMDM,ACM+MDM(Grid),0.9921875,-0.93393941286792,9
7,001-2014,7,MDM,ACM+MDM(Grid),0.998046875,-1.0412397664761117,9
8,001-2014,8,ACM+MDM(MDOP),ACM+MDM(Grid),0.974609375,-0.5329242706066257,9
9,001-2014,9,ACM+TGSP+SVM(MDOP),ACM+MDM(Grid),0.61328125,-0.21720233944162878,9
10,001-2014,10,ShallowConvNet,ACM+MDM(Grid),0.1640625,0.339639574784885,9
11,001-2014,11,TANG+SVM,ACM+MDM(Grid),0.966796875,-0.7077982735444123,9
12,001-2014,12,ACM+MDM(Grid),ACM+TGSP+SVM(Grid),0.998046875,-1.42366693436161,9
13,001-2014,13,ACM+TGSP+SVM(Grid),ACM+TGSP+SVM(Grid),0.001953125,0.0,9
14,001-2014,14,CSP+LDA,ACM+TGSP+SVM(Grid),0.998046875,-1.2549361857939716,9
15,001-2014,15,Cov+EN,ACM+TGSP+SVM(Grid),0.998046875,-1.643428057489426,9
16,001-2014,16,DeepConvNet,ACM+TGSP+SVM(Grid),0.998046875,-3.6181512661286392,9
17,001-2014,17,EEGNet_8_2,ACM+TGSP+SVM(Grid),0.96484375,-0.7006292859421598,9
18,001-2014,18,FgMDM,ACM+TGSP+SVM(Grid),0.998046875,-2.1437420514276604,9
19,001-2014,19,MDM,ACM+TGSP+SVM(Grid),0.998046875,-1.5475667266814102,9
20,001-2014,20,ACM+MDM(MDOP),ACM+TGSP+SVM(Grid),0.998046875,-1.1985262803756704,9
21,001-2014,21,ACM+TGSP+SVM(MDOP),ACM+TGSP+SVM(Grid),0.998046875,-0.7739251303856619,9
